,test_condition,accuracy,agent,cotN,concept
77,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,catch++frisbee
78,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,catch++frisbee
79,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,catch++frisbee
80,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,catch++frisbee
81,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,catch++frisbee
82,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++keyboard
83,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++keyboard
84,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++keyboard
85,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++keyboard
86,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++keyboard
87,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++keyboard
88,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++keyboard
89,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++keyboard
90,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++keyboard
91,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++keyboard
92,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++refrigerator
93,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++refrigerator
94,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++refrigerator
95,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++refrigerator
96,test_seen_obj_seen_act,,gpt-4o,chain_of_thought0,clean++refrigerator
97,test_seen_obj_seen_act,,gpt-4o,chain_of_thought0,clean++refrigerator
98,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++refrigerator
99,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++refrigerator
100,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++refrigerator
101,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++refrigerator
102,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++toilet
103,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++toilet
104,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++toilet
105,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,clean++toilet
106,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++toilet
107,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++toilet
108,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++toilet
109,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++toilet
110,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++toilet
111,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,clean++toilet
112,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,control++tv
113,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,control++tv
114,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,control++tv
115,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,control++tv
116,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,control++tv
117,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,control++tv
118,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,control++tv
119,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,control++tv
120,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,cut++cake
121,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,cut++cake
122,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,cut++cake
123,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,cut++cake
124,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,cut++cake
125,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,cut++cake
126,test_seen_obj_seen_act,,gpt-4o,chain_of_thought0,cut_with++knife
127,test_seen_obj_seen_act,,gpt-4o,chain_of_thought0,cut_with++knife
128,test_seen_obj_seen_act,,gpt-4o,chain_of_thought0,cut_with++knife
129,test_seen_obj_seen_act,,gpt-4o,chain_of_thought0,cut_with++knife
130,test_seen_obj_seen_act,,gpt-4o,chain_of_thought0,cut_with++knife
131,test_seen_obj_seen_act,,gpt-4o,chain_of_thought0,cut_with++knife
132,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,cut_with++knife
133,test_seen_obj_seen_act,,gpt-4o,chain_of_thought0,cut_with++knife
134,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,cut_with++knife
135,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,cut_with++knife
136,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,cut_with++scissors
137,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,cut_with++scissors
138,test_unseen_obj_seen_act,,gpt-4o,chain_of_thought0,cut_with++scissors
139,test_unseen_obj_seen_act,,gpt-4o,chain_of_thought0,cut_with++scissors
140,test_unseen_obj_seen_act,,gpt-4o,chain_of_thought0,cut_with++scissors
141,test_unseen_obj_seen_act,,gpt-4o,chain_of_thought0,cut_with++scissors
142,test_unseen_obj_seen_act,,gpt-4o,chain_of_thought0,cut_with++scissors
143,test_unseen_obj_seen_act,,gpt-4o,chain_of_thought0,cut_with++scissors
144,test_unseen_obj_seen_act,,gpt-4o,chain_of_thought0,cut_with++scissors
145,test_unseen_obj_seen_act,,gpt-4o,chain_of_thought0,cut_with++scissors
146,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,direct++airplane
147,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,direct++airplane
148,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,direct++airplane
149,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,direct++airplane
150,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,direct++airplane
151,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,direct++airplane
152,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drag++suitcase
153,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drag++suitcase
154,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drag++suitcase
155,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drag++suitcase
156,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,dribble++sports_ball
157,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,dribble++sports_ball
158,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,dribble++sports_ball
159,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,dribble++sports_ball
160,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drink_with++bottle
161,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drink_with++bottle
162,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,drink_with++cup
163,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,drink_with++cup
164,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drink_with++cup
165,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,drink_with++cup
166,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drink_with++cup
167,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drink_with++cup
168,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drink_with++cup
169,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,drink_with++cup
170,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,drink_with++cup
171,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,drink_with++cup
172,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drive++boat
173,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drive++boat
174,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drive++car
175,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drive++car
176,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drive++car
177,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drive++car
178,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drive++train
179,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drive++train
180,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drive++train
181,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drive++train
182,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drive++train
183,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drive++train
184,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drive++train
185,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,drive++train
186,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++apple
187,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,eat++apple
188,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++apple
189,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,eat++apple
190,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++apple
191,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,eat++apple
192,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++apple
193,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,eat++apple
194,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++apple
195,test_unseen_obj_seen_act,,gpt-4o,chain_of_thought0,eat++apple
196,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++banana
197,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++banana
198,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++banana
199,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++banana
200,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++banana
201,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++banana
202,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++banana
203,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++banana
204,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++banana
205,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,eat++banana
206,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++donut
207,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,eat++donut
208,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++donut
209,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,eat++donut
210,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++donut
211,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++donut
212,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,eat++hot_dog
213,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++hot_dog
214,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++hot_dog
215,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,eat++hot_dog
216,test_seen_obj_seen_act,,gpt-4o,chain_of_thought0,eat++orange
217,test_seen_obj_seen_act,,gpt-4o,chain_of_thought0,eat++orange
218,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++orange
219,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,eat++orange
220,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,eat++sandwich
221,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,eat++sandwich
222,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,eat++sandwich
223,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat++sandwich
224,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat_at++dining_table
225,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,eat_at++dining_table
226,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat_at++dining_table
227,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat_at++dining_table
228,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat_at++dining_table
229,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,eat_at++dining_table
230,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,eat_at++dining_table
231,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,eat_at++dining_table
232,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,eat_at++dining_table
233,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,eat_at++dining_table
234,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,feed++bird
235,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,feed++bird
236,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,feed++bird
237,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,feed++bird
238,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,feed++elephant
239,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,feed++elephant
240,test_seen_obj_seen_act,,gpt-4o,chain_of_thought0,feed++giraffe
241,test_seen_obj_seen_act,,gpt-4o,chain_of_thought0,feed++giraffe
242,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,feed++sheep
243,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,feed++sheep
244,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,fly++kite
245,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,fly++kite
246,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,fly++kite
247,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,fly++kite
248,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,fly++kite
249,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,fly++kite
250,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,fly++kite
251,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,fly++kite
252,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,fly++kite
253,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,fly++kite
254,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,greet++person
255,test_seen_obj_unseen_act,0.0,gpt-4o,chain_of_thought0,greet++person
256,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,greet++person
257,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,greet++person
258,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,greet++person
259,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,greet++person
260,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,greet++person
261,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,greet++person
262,test_seen_obj_unseen_act,0.0,gpt-4o,chain_of_thought0,greet++person
263,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,greet++person
264,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,grind++skateboard
265,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,grind++skateboard
266,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,grind++skateboard
267,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,grind++skateboard
268,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,grind++skateboard
269,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,grind++skateboard
270,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,grind++skateboard
271,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,grind++skateboard
272,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,grind++skateboard
273,test_seen_obj_unseen_act,0.0,gpt-4o,chain_of_thought0,grind++skateboard
274,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,grind++snowboard
275,test_seen_obj_unseen_act,0.0,gpt-4o,chain_of_thought0,grind++snowboard
276,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,grind++snowboard
277,test_seen_obj_unseen_act,0.0,gpt-4o,chain_of_thought0,grind++snowboard
278,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,help_adjust_or_tie++tie
279,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,help_adjust_or_tie++tie
280,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,hold++apple
281,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++apple
282,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++apple
283,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++apple
284,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++apple
285,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,hold++apple
286,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,hold++apple
287,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++apple
288,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,hold++apple
289,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,hold++apple
290,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++banana
291,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++banana
292,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,hold++banana
293,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,hold++banana
294,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++banana
295,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,hold++banana
296,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++banana
297,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,hold++banana
298,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++banana
299,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++banana
300,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++bicycle
301,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,hold++bicycle
302,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++bird
303,test_seen_obj_seen_act,,gpt-4o,chain_of_thought0,hold++bird
304,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++bird
305,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++bird
306,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++bird
307,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++bird
308,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++bottle
309,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++bottle
310,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++bottle
311,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,hold++bottle
312,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++bottle
313,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++bottle
314,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,hold++bottle
315,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++bottle
316,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++bottle
317,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++bottle
318,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++cake
319,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++cake
320,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++cake
321,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++cake
322,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++cake
323,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++cake
324,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++cake
325,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++cake
326,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++cake
327,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,hold++cake
