,test_condition,accuracy,source,concept
44,test_unseen_obj_seen_act,0.0,Chain of Thought 0,carry++handbag
45,test_unseen_obj_seen_act,1.0,Chain of Thought 0,carry++handbag
46,test_unseen_obj_seen_act,1.0,Chain of Thought 0,carry++handbag
47,test_unseen_obj_seen_act,0.0,Chain of Thought 0,carry++handbag
48,test_seen_obj_seen_act,1.0,Chain of Thought 0,carry++snowboard
49,test_seen_obj_seen_act,1.0,Chain of Thought 0,carry++snowboard
50,test_seen_obj_seen_act,1.0,Chain of Thought 0,carry++suitcase
51,test_seen_obj_seen_act,1.0,Chain of Thought 0,carry++suitcase
52,test_seen_obj_seen_act,1.0,Chain of Thought 0,carry++suitcase
53,test_seen_obj_seen_act,0.0,Chain of Thought 0,carry++suitcase
54,test_seen_obj_seen_act,1.0,Chain of Thought 0,carry++suitcase
55,test_seen_obj_seen_act,0.0,Chain of Thought 0,carry++suitcase
56,test_seen_obj_seen_act,1.0,Chain of Thought 0,carry++suitcase
57,test_seen_obj_seen_act,1.0,Chain of Thought 0,carry++suitcase
58,test_seen_obj_seen_act,1.0,Chain of Thought 0,carry++suitcase
59,test_seen_obj_seen_act,1.0,Chain of Thought 0,carry++suitcase
60,test_unseen_obj_seen_act,1.0,Chain of Thought 0,carry++surfboard
61,test_unseen_obj_seen_act,0.0,Chain of Thought 0,carry++surfboard
62,test_unseen_obj_seen_act,1.0,Chain of Thought 0,carry++surfboard
63,test_unseen_obj_seen_act,0.0,Chain of Thought 0,carry++surfboard
64,test_unseen_obj_seen_act,1.0,Chain of Thought 0,carry++surfboard
65,test_unseen_obj_seen_act,1.0,Chain of Thought 0,carry++surfboard
66,test_unseen_obj_seen_act,1.0,Chain of Thought 0,carry++surfboard
67,test_unseen_obj_seen_act,0.0,Chain of Thought 0,carry++surfboard
68,test_unseen_obj_seen_act,1.0,Chain of Thought 0,carry++surfboard
69,test_unseen_obj_seen_act,1.0,Chain of Thought 0,carry++surfboard
70,test_unseen_obj_seen_act,1.0,Chain of Thought 0,catch++frisbee
71,test_unseen_obj_seen_act,1.0,Chain of Thought 0,catch++frisbee
72,test_unseen_obj_seen_act,1.0,Chain of Thought 0,catch++frisbee
73,test_unseen_obj_seen_act,1.0,Chain of Thought 0,catch++frisbee
74,test_unseen_obj_seen_act,1.0,Chain of Thought 0,catch++frisbee
75,test_unseen_obj_seen_act,0.0,Chain of Thought 0,catch++frisbee
76,test_unseen_obj_seen_act,1.0,Chain of Thought 0,catch++frisbee
77,test_unseen_obj_seen_act,0.0,Chain of Thought 0,catch++frisbee
78,test_unseen_obj_seen_act,1.0,Chain of Thought 0,catch++frisbee
79,test_unseen_obj_seen_act,0.0,Chain of Thought 0,catch++frisbee
80,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++keyboard
81,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++keyboard
82,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++keyboard
83,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++keyboard
84,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++keyboard
85,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++keyboard
86,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++keyboard
87,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++keyboard
88,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++keyboard
89,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++keyboard
90,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++refrigerator
91,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++refrigerator
92,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++refrigerator
93,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++refrigerator
94,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++refrigerator
95,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++refrigerator
96,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++refrigerator
97,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++refrigerator
98,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++toilet
99,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++toilet
100,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++toilet
101,test_seen_obj_seen_act,0.0,Chain of Thought 0,clean++toilet
102,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++toilet
103,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++toilet
104,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++toilet
105,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++toilet
106,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++toilet
107,test_seen_obj_seen_act,1.0,Chain of Thought 0,clean++toilet
108,test_seen_obj_seen_act,1.0,Chain of Thought 0,control++tv
109,test_seen_obj_seen_act,1.0,Chain of Thought 0,control++tv
110,test_seen_obj_seen_act,1.0,Chain of Thought 0,control++tv
111,test_seen_obj_seen_act,1.0,Chain of Thought 0,control++tv
112,test_seen_obj_seen_act,1.0,Chain of Thought 0,control++tv
113,test_seen_obj_seen_act,1.0,Chain of Thought 0,control++tv
114,test_seen_obj_seen_act,1.0,Chain of Thought 0,control++tv
115,test_seen_obj_seen_act,0.0,Chain of Thought 0,control++tv
116,test_seen_obj_seen_act,1.0,Chain of Thought 0,cut++cake
117,test_seen_obj_seen_act,0.0,Chain of Thought 0,cut++cake
118,test_seen_obj_seen_act,1.0,Chain of Thought 0,cut++cake
119,test_seen_obj_seen_act,1.0,Chain of Thought 0,cut++cake
120,test_seen_obj_seen_act,1.0,Chain of Thought 0,cut++cake
121,test_seen_obj_seen_act,1.0,Chain of Thought 0,cut++cake
122,test_seen_obj_seen_act,1.0,Chain of Thought 0,cut_with++knife
123,test_seen_obj_seen_act,1.0,Chain of Thought 0,cut_with++knife
124,test_seen_obj_seen_act,1.0,Chain of Thought 0,cut_with++knife
125,test_seen_obj_seen_act,0.0,Chain of Thought 0,cut_with++knife
126,test_seen_obj_seen_act,1.0,Chain of Thought 0,cut_with++knife
127,test_seen_obj_seen_act,1.0,Chain of Thought 0,cut_with++knife
128,test_seen_obj_seen_act,0.0,Chain of Thought 0,cut_with++knife
129,test_seen_obj_seen_act,0.0,Chain of Thought 0,cut_with++knife
130,test_seen_obj_seen_act,1.0,Chain of Thought 0,cut_with++knife
131,test_seen_obj_seen_act,1.0,Chain of Thought 0,cut_with++knife
132,test_unseen_obj_seen_act,1.0,Chain of Thought 0,cut_with++scissors
133,test_unseen_obj_seen_act,1.0,Chain of Thought 0,cut_with++scissors
134,test_unseen_obj_seen_act,0.0,Chain of Thought 0,cut_with++scissors
135,test_unseen_obj_seen_act,0.0,Chain of Thought 0,cut_with++scissors
136,test_unseen_obj_seen_act,1.0,Chain of Thought 0,cut_with++scissors
137,test_unseen_obj_seen_act,0.0,Chain of Thought 0,cut_with++scissors
138,test_unseen_obj_seen_act,1.0,Chain of Thought 0,cut_with++scissors
139,test_unseen_obj_seen_act,1.0,Chain of Thought 0,cut_with++scissors
140,test_unseen_obj_seen_act,1.0,Chain of Thought 0,cut_with++scissors
141,test_unseen_obj_seen_act,1.0,Chain of Thought 0,cut_with++scissors
142,test_seen_obj_unseen_act,1.0,Chain of Thought 0,direct++airplane
143,test_seen_obj_unseen_act,1.0,Chain of Thought 0,direct++airplane
144,test_seen_obj_unseen_act,1.0,Chain of Thought 0,direct++airplane
145,test_seen_obj_unseen_act,1.0,Chain of Thought 0,direct++airplane
146,test_seen_obj_unseen_act,1.0,Chain of Thought 0,direct++airplane
147,test_seen_obj_unseen_act,1.0,Chain of Thought 0,direct++airplane
148,test_seen_obj_seen_act,1.0,Chain of Thought 0,drag++suitcase
149,test_seen_obj_seen_act,1.0,Chain of Thought 0,drag++suitcase
150,test_seen_obj_seen_act,1.0,Chain of Thought 0,drag++suitcase
151,test_seen_obj_seen_act,1.0,Chain of Thought 0,drag++suitcase
152,test_seen_obj_seen_act,1.0,Chain of Thought 0,dribble++sports_ball
153,test_seen_obj_seen_act,0.0,Chain of Thought 0,dribble++sports_ball
154,test_seen_obj_seen_act,1.0,Chain of Thought 0,dribble++sports_ball
155,test_seen_obj_seen_act,0.0,Chain of Thought 0,dribble++sports_ball
156,test_seen_obj_seen_act,1.0,Chain of Thought 0,drink_with++bottle
157,test_seen_obj_seen_act,1.0,Chain of Thought 0,drink_with++bottle
158,test_seen_obj_seen_act,0.0,Chain of Thought 0,drink_with++cup
159,test_seen_obj_seen_act,0.0,Chain of Thought 0,drink_with++cup
160,test_seen_obj_seen_act,1.0,Chain of Thought 0,drink_with++cup
161,test_seen_obj_seen_act,0.0,Chain of Thought 0,drink_with++cup
162,test_seen_obj_seen_act,1.0,Chain of Thought 0,drink_with++cup
163,test_seen_obj_seen_act,1.0,Chain of Thought 0,drink_with++cup
164,test_seen_obj_seen_act,1.0,Chain of Thought 0,drink_with++cup
165,test_seen_obj_seen_act,0.0,Chain of Thought 0,drink_with++cup
166,test_seen_obj_seen_act,0.0,Chain of Thought 0,drink_with++cup
167,test_seen_obj_seen_act,0.0,Chain of Thought 0,drink_with++cup
168,test_seen_obj_seen_act,1.0,Chain of Thought 0,drive++boat
169,test_seen_obj_seen_act,1.0,Chain of Thought 0,drive++boat
170,test_seen_obj_seen_act,1.0,Chain of Thought 0,drive++car
171,test_seen_obj_seen_act,1.0,Chain of Thought 0,drive++car
172,test_seen_obj_seen_act,1.0,Chain of Thought 0,drive++car
173,test_seen_obj_seen_act,1.0,Chain of Thought 0,drive++car
174,test_seen_obj_seen_act,1.0,Chain of Thought 0,drive++train
175,test_seen_obj_seen_act,1.0,Chain of Thought 0,drive++train
176,test_seen_obj_seen_act,1.0,Chain of Thought 0,drive++train
177,test_seen_obj_seen_act,1.0,Chain of Thought 0,drive++train
178,test_seen_obj_seen_act,1.0,Chain of Thought 0,drive++train
179,test_seen_obj_seen_act,1.0,Chain of Thought 0,drive++train
180,test_seen_obj_seen_act,1.0,Chain of Thought 0,drive++train
181,test_seen_obj_seen_act,1.0,Chain of Thought 0,drive++train
182,test_unseen_obj_seen_act,1.0,Chain of Thought 0,eat++apple
183,test_unseen_obj_seen_act,0.0,Chain of Thought 0,eat++apple
184,test_unseen_obj_seen_act,1.0,Chain of Thought 0,eat++apple
185,test_unseen_obj_seen_act,0.0,Chain of Thought 0,eat++apple
186,test_unseen_obj_seen_act,1.0,Chain of Thought 0,eat++apple
187,test_unseen_obj_seen_act,0.0,Chain of Thought 0,eat++apple
188,test_unseen_obj_seen_act,1.0,Chain of Thought 0,eat++apple
189,test_unseen_obj_seen_act,0.0,Chain of Thought 0,eat++apple
190,test_unseen_obj_seen_act,1.0,Chain of Thought 0,eat++apple
191,test_unseen_obj_seen_act,1.0,Chain of Thought 0,eat++apple
192,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat++banana
193,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat++banana
194,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat++banana
195,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat++banana
196,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat++banana
197,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat++banana
198,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat++banana
199,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat++banana
200,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat++banana
201,test_seen_obj_seen_act,0.0,Chain of Thought 0,eat++banana
202,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat++donut
203,test_seen_obj_seen_act,0.0,Chain of Thought 0,eat++donut
204,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat++donut
205,test_seen_obj_seen_act,0.0,Chain of Thought 0,eat++donut
206,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat++donut
207,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat++donut
208,test_seen_obj_seen_act,0.0,Chain of Thought 0,eat++hot_dog
209,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat++hot_dog
210,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat++hot_dog
211,test_seen_obj_seen_act,0.0,Chain of Thought 0,eat++hot_dog
212,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat++orange
213,test_seen_obj_seen_act,0.0,Chain of Thought 0,eat++orange
214,test_seen_obj_seen_act,0.0,Chain of Thought 0,eat++sandwich
215,test_seen_obj_seen_act,0.0,Chain of Thought 0,eat++sandwich
216,test_seen_obj_seen_act,0.0,Chain of Thought 0,eat++sandwich
217,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat++sandwich
218,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat_at++dining_table
219,test_seen_obj_seen_act,0.0,Chain of Thought 0,eat_at++dining_table
220,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat_at++dining_table
221,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat_at++dining_table
222,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat_at++dining_table
223,test_seen_obj_seen_act,0.0,Chain of Thought 0,eat_at++dining_table
224,test_seen_obj_seen_act,0.0,Chain of Thought 0,eat_at++dining_table
225,test_seen_obj_seen_act,0.0,Chain of Thought 0,eat_at++dining_table
226,test_seen_obj_seen_act,1.0,Chain of Thought 0,eat_at++dining_table
227,test_seen_obj_seen_act,0.0,Chain of Thought 0,eat_at++dining_table
228,test_seen_obj_seen_act,1.0,Chain of Thought 0,feed++bird
229,test_seen_obj_seen_act,1.0,Chain of Thought 0,feed++bird
230,test_seen_obj_seen_act,1.0,Chain of Thought 0,feed++bird
231,test_seen_obj_seen_act,1.0,Chain of Thought 0,feed++bird
232,test_seen_obj_seen_act,1.0,Chain of Thought 0,feed++elephant
233,test_seen_obj_seen_act,1.0,Chain of Thought 0,feed++elephant
234,test_unseen_obj_seen_act,1.0,Chain of Thought 0,feed++sheep
235,test_unseen_obj_seen_act,1.0,Chain of Thought 0,feed++sheep
236,test_seen_obj_seen_act,1.0,Chain of Thought 0,fly++kite
237,test_seen_obj_seen_act,0.0,Chain of Thought 0,fly++kite
238,test_seen_obj_seen_act,1.0,Chain of Thought 0,fly++kite
239,test_seen_obj_seen_act,0.0,Chain of Thought 0,fly++kite
240,test_seen_obj_seen_act,1.0,Chain of Thought 0,fly++kite
241,test_seen_obj_seen_act,1.0,Chain of Thought 0,fly++kite
242,test_seen_obj_seen_act,0.0,Chain of Thought 0,fly++kite
243,test_seen_obj_seen_act,1.0,Chain of Thought 0,fly++kite
244,test_seen_obj_seen_act,1.0,Chain of Thought 0,fly++kite
245,test_seen_obj_seen_act,1.0,Chain of Thought 0,fly++kite
246,test_seen_obj_unseen_act,1.0,Chain of Thought 0,greet++person
247,test_seen_obj_unseen_act,0.0,Chain of Thought 0,greet++person
248,test_seen_obj_unseen_act,1.0,Chain of Thought 0,greet++person
249,test_seen_obj_unseen_act,1.0,Chain of Thought 0,greet++person
250,test_seen_obj_unseen_act,1.0,Chain of Thought 0,greet++person
251,test_seen_obj_unseen_act,1.0,Chain of Thought 0,greet++person
252,test_seen_obj_unseen_act,1.0,Chain of Thought 0,greet++person
253,test_seen_obj_unseen_act,1.0,Chain of Thought 0,greet++person
254,test_seen_obj_unseen_act,0.0,Chain of Thought 0,greet++person
255,test_seen_obj_unseen_act,1.0,Chain of Thought 0,greet++person
256,test_seen_obj_unseen_act,1.0,Chain of Thought 0,grind++skateboard
257,test_seen_obj_unseen_act,1.0,Chain of Thought 0,grind++skateboard
258,test_seen_obj_unseen_act,1.0,Chain of Thought 0,grind++skateboard
259,test_seen_obj_unseen_act,1.0,Chain of Thought 0,grind++skateboard
260,test_seen_obj_unseen_act,1.0,Chain of Thought 0,grind++skateboard
261,test_seen_obj_unseen_act,1.0,Chain of Thought 0,grind++skateboard
262,test_seen_obj_unseen_act,1.0,Chain of Thought 0,grind++skateboard
263,test_seen_obj_unseen_act,1.0,Chain of Thought 0,grind++skateboard
264,test_seen_obj_unseen_act,1.0,Chain of Thought 0,grind++skateboard
265,test_seen_obj_unseen_act,0.0,Chain of Thought 0,grind++skateboard
266,test_seen_obj_unseen_act,1.0,Chain of Thought 0,grind++snowboard
267,test_seen_obj_unseen_act,0.0,Chain of Thought 0,grind++snowboard
268,test_seen_obj_unseen_act,1.0,Chain of Thought 0,grind++snowboard
269,test_seen_obj_unseen_act,0.0,Chain of Thought 0,grind++snowboard
270,test_unseen_obj_unseen_act,1.0,Chain of Thought 0,help_adjust_or_tie++tie
271,test_unseen_obj_unseen_act,1.0,Chain of Thought 0,help_adjust_or_tie++tie
272,test_unseen_obj_seen_act,0.0,Chain of Thought 0,hold++apple
273,test_unseen_obj_seen_act,1.0,Chain of Thought 0,hold++apple
274,test_unseen_obj_seen_act,1.0,Chain of Thought 0,hold++apple
275,test_unseen_obj_seen_act,1.0,Chain of Thought 0,hold++apple
276,test_unseen_obj_seen_act,1.0,Chain of Thought 0,hold++apple
277,test_unseen_obj_seen_act,0.0,Chain of Thought 0,hold++apple
278,test_unseen_obj_seen_act,0.0,Chain of Thought 0,hold++apple
279,test_unseen_obj_seen_act,1.0,Chain of Thought 0,hold++apple
280,test_unseen_obj_seen_act,0.0,Chain of Thought 0,hold++apple
281,test_unseen_obj_seen_act,0.0,Chain of Thought 0,hold++apple
282,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++banana
283,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++banana
284,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++banana
285,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++banana
286,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++banana
287,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++banana
288,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++banana
289,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++banana
290,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++banana
291,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++banana
292,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++bicycle
293,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++bicycle
294,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++bird
295,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++bird
296,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++bird
297,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++bird
298,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++bird
299,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++bottle
300,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++bottle
301,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++bottle
302,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++bottle
303,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++bottle
304,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++bottle
305,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++bottle
306,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++bottle
307,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++bottle
308,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++bottle
309,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++cake
310,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++cake
311,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++cake
312,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++cake
313,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++cake
314,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++cake
315,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++cake
316,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++cake
317,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++cake
318,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++cake
319,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++carrot
320,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++carrot
321,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++cup
322,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++cup
323,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++cup
324,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++cup
325,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++cup
326,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++cup
327,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++cup
328,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++cup
329,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++cup
330,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++cup
331,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++dog
332,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++dog
333,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++dog
334,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++dog
335,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++dog
336,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++dog
337,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++dog
338,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++dog
339,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++dog
340,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++dog
341,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++donut
342,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++donut
343,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++donut
344,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++donut
345,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++donut
346,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++donut
347,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++donut
348,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++donut
349,test_unseen_obj_seen_act,0.0,Chain of Thought 0,hold++frisbee
350,test_unseen_obj_seen_act,0.0,Chain of Thought 0,hold++frisbee
351,test_unseen_obj_seen_act,1.0,Chain of Thought 0,hold++handbag
352,test_unseen_obj_seen_act,0.0,Chain of Thought 0,hold++handbag
353,test_unseen_obj_seen_act,0.0,Chain of Thought 0,hold++handbag
354,test_unseen_obj_seen_act,0.0,Chain of Thought 0,hold++handbag
355,test_unseen_obj_seen_act,0.0,Chain of Thought 0,hold++handbag
356,test_unseen_obj_seen_act,1.0,Chain of Thought 0,hold++handbag
357,test_unseen_obj_seen_act,1.0,Chain of Thought 0,hold++handbag
358,test_unseen_obj_seen_act,1.0,Chain of Thought 0,hold++handbag
359,test_unseen_obj_seen_act,1.0,Chain of Thought 0,hold++handbag
360,test_unseen_obj_seen_act,0.0,Chain of Thought 0,hold++handbag
361,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++hot_dog
362,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++hot_dog
363,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++hot_dog
364,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++hot_dog
365,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++kite
366,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++kite
367,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++kite
368,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++kite
369,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++kite
370,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++kite
371,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++kite
372,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++kite
373,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++kite
374,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++kite
375,test_seen_obj_seen_act,0.0,Chain of Thought 0,hold++knife
376,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++knife
377,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++knife
378,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++knife
379,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++knife
380,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++knife
381,test_seen_obj_seen_act,1.0,Chain of Thought 0,hold++knife
